name,platform,category,users_24hr,weekly_txs,txs_24hr
Idex,ETH,Exchange,814,52338,7959
Forkdelta,ETH,Exchange,667,15983,2494
My Crypto Heroes,ETH,Game,522,6840,952
Blockchain Cuties,ETH,Game,521,14087,3622
Ethermon,ETH,Game,375,9205,1159
Hyper Dragons,ETH,Game,338,4238,511
CryptoKitties,ETH,Game,342,30845,4698
Decentraland,ETH,Marketplace,157,1549,230
EtherRoll,ETH,Gambling,154,16533,2936
Win 777,ETH,Gambling,57,417,57
Crypto Atoms,ETH,Collectibles,16,222,26
Crypto Punks,ETH,Collectibles,15,141,18
Bit Ponies,ETH,Collectibles,111,1225,114
Crypto Care,ETH,Collectibles,131,1931,221
Open Sea,ETH,Marketplace,58,1342,117
EosBet,EOS,Gambling,870,29752,2562
Eos Knights,EOS,Game,3978,29675,11018
Bet Dice,EOS,Gambling,2274,31092,6473
Fastwin,EOS,Gambling,2227,21101,2994
FishJoy,EOS,Gambling,2049,24114,4735
Newdex,EOS,Exchange,1755,12653,1770
Dex Eos,EOS,Exchange,267,28271,839
WhaleEx,EOS,Exchange,238,27710,5176
Token Planets,EOS,Game,231,6670,1059
Fishing Master,EOS,Game,120,7289,443
Kyubey Network,EOS,Marketplace,118,342,180
Eos Name Swaps,EOS,Marketplace,15,138,38
Wish Steller,EOS,Collectibles,232,118,319
Findex,EOS,Exchange,141,7856,1283
Monster Eos,EOS,Game,48,3382,429
Tron Bet,TRX,Gambling,2196,14691,3284
Dicebet,TRX,Gambling,187,19004,1012
Trx Market,TRX,Exchange,182,13851,900
Chibi Fighters,TRX,Game,54,183,141
Last Trip,TRX,Game,22,129,27
Snatch3D,TRX,Game,0,2,0
Goc Dex,TRX,Exchange,102,13422,674
Tron Fun,TRX,Gambling,112,23362,4481
Tron Dice,TRX,Gambling,108,21157,2931
Gear Of Fortune,TRX,Gambling,56,15474,1246
Ant Farmer,TRX,Game,759,9588,4102
Xworld,TRX,Game,0,1,0
Hit Dapps,TRX,Gambling,48,3435,248
QuasarX,TRX,Gambling,11,409,46
TronPixel,TRX,Gambling,11,1253,54
